Image,Latitude,Longitude,Relative Altitude,Absolute Altitude,GSD,Gimbal Roll Degree,Gimbal Yaw Degree,Gimbal Pitch Degree,Flight Yaw Degree
DJI_0034.JPG,5.697558333333333,-0.01368888888888889,90.2,164.23,0.022,0.0,-5.5,-89.9,-8.0
DJI_0035.JPG,5.697691666666667,-0.013708333333333335,90.2,164.1,0.022,0.0,-5.5,-89.9,-8.0
DJI_0036.JPG,5.697825,-0.013727777777777778,90.1,164.09,0.022,0.0,-5.5,-89.9,-8.0
DJI_0037.JPG,5.697958333333333,-0.013747222222222223,90.2,164.07,0.022,0.0,-5.5,-90.0,-7.9
DJI_0038.JPG,5.6980916666666666,-0.013766666666666667,90.2,163.9,0.022,0.0,-5.5,-90.0,-8.0
DJI_0039.JPG,5.698219444444445,-0.013786111111111112,90.1,163.63,0.022,0.0,-5.5,-89.9,-8.0
DJI_0040.JPG,5.698352777777778,-0.013805555555555557,90.1,163.45,0.022,0.0,-5.5,-89.9,-8.0
DJI_0041.JPG,5.698486111111111,-0.013825,90.0,163.31,0.022,0.0,-5.5,-89.9,-8.0
DJI_0042.JPG,5.698619444444445,-0.013844444444444446,90.0,163.19,0.022,0.0,-5.5,-90.0,-7.9
DJI_0043.JPG,5.69875,-0.013863888888888887,90.0,163.1,0.022,0.0,-5.5,-89.9,-7.9
DJI_0044.JPG,5.698883333333334,-0.013883333333333333,89.9,163.04,0.022,0.0,-5.5,-90.0,-8.0
